file_path,corruption_types,severity,title
/Users/twinssn/Projects/cap/hotissue-hugo/content/posts/2026-07-25-전문가-없이-혼자-계산하는-g클래스-vs-아이오닉-9-3년-총비용-감가유지비잔존가치-공식.md,test_dummy,중,E2E Test Post
/Users/twinssn/Projects/cap/hotissue-hugo/content/posts/2026-07-25-중고-매각까지-포함한-마이바흐-gls-vs-아이오닉-9-실질-소유비용-3년-총손실-비교.md,test_dummy,중,Test Title with Cover
/Users/twinssn/Projects/cap/hotissue-hugo/content/posts/2025-04-25-ec868cec8381eab3b5ec9db8-ebb0b0eb8baced839debb0b0e.md,product_mismatch_unrelated,하,"소상공인 배달택배비 지원사업 신청방법 및 조건 총정리"
/Users/twinssn/Projects/cap/hotissue-hugo/content/posts/2025-04-25-ec8aaceba6bded8dbc.md,product_mismatch_unrelated,하,"생방송투데이 슬립퍼 환승 직업 장호영 대표의 두 번째 인생 2막의 열쇠를 1:1 맞춤 침대에서 찾다 4월 25일 방송"
/Users/twinssn/Projects/cap/hotissue-hugo/content/posts/2025-04-30-ec84b8ebaa85eb868dec82b0.md,product_mismatch_unrelated,하,"오늘엔 오늘대공개 세명농산 경북 문경에서 만든 정직한 단무지 제품 구매 방법 4월 30일 방송"
/Users/twinssn/Projects/cap/hotissue-hugo/content/posts/2025-05-10-ebb094eb8298eb9390ec8c80.md,product_mismatch_unrelated,하,"바나듐쌀 구매방법 원산지 가격 효능 총정리 안내 건강한 혈당 관리를 위한 기능성 쌀"
/Users/twinssn/Projects/cap/hotissue-hugo/content/posts/2026-01-17-015-2026-reuno-pilrangteu-gagyeok/index.md,product_mismatch,하,2026 르노 필랑트 가격 트림별 옵션 총정리 4천만 원대 하이브리드 SUV의 등장
/Users/twinssn/Projects/cap/hotissue-hugo/content/posts/2026-01-17-016-reuno-pilrangteu-yeonbi-151kml/index.md,product_mismatch,하,르노 필랑트 연비 15.1km/L 실연비는 어떨까 도심 75% 전기주행의 비밀
/Users/twinssn/Projects/cap/hotissue-hugo/content/posts/2026-01-17-017-reuno-pilrangteu-jangdanjeom-soljik/index.md,product_mismatch,하,르노 필랑트 장단점 솔직 분석 250마력 하이브리드 사도 될까
/Users/twinssn/Projects/cap/hotissue-hugo/content/posts/2026-01-18-004-2026-gia-ev2-gagyeok/index.md,product_mismatch,하,2026 기아 EV2 가격 스펙 총정리 보조금 받으면 2천만 원대 실구매 가능할까
